,sensor,start_time,end_time
0,CoffeMachine.csv,2023-09-25 12:49:48.666,2023-09-25 12:50:48.677
1,Dishes_Glasses.csv,2023-09-25 12:12:53.789,2023-09-25 12:13:10.178
2,Dishes_Glasses.csv,2023-09-25 12:45:26.815,2023-09-25 12:45:31.203
3,Dishes_Glasses.csv,2023-09-25 18:22:45.853,2023-09-25 18:22:49.750
4,Dishes_Glasses.csv,2023-09-25 18:23:20.969,2023-09-25 18:23:30.217
5,Dishes_Glasses.csv,2023-09-25 18:40:30.618,2023-09-25 18:40:33.912
6,FoodStorageLivingRoom.csv,2023-09-25 12:12:40.727,2023-09-25 12:12:41.593
7,FoodStorageLivingRoom.csv,2023-09-25 16:11:33.037,2023-09-25 16:11:40.218
8,FoodStorageLivingRoom.csv,2023-09-25 16:37:27.457,2023-09-25 16:38:53.991
9,FoodStorageLivingRoom.csv,2023-09-25 16:38:54.472,2023-09-25 16:49:03.126
10,FoodStorageLivingRoom.csv,2023-09-25 18:40:45.133,2023-09-25 18:40:59.348
11,FoodStorageLivingRoom.csv,2023-09-25 18:40:59.745,2023-09-26 08:11:23.549
12,Freezer.csv,2023-09-25 12:20:04.684,2023-09-25 12:20:16.747
13,Freezer.csv,2023-09-25 12:20:50.410,2023-09-25 12:20:56.793
14,Freezer.csv,2023-09-25 12:42:35.145,2023-09-25 12:42:51.513
15,Freezer.csv,2023-09-25 12:57:31.709,2023-09-25 12:57:47.111
16,Freezer.csv,2023-09-25 13:08:57.825,2023-09-25 13:09:04.357
17,Freezer.csv,2023-09-25 18:10:59.161,2023-09-25 18:11:10.772
18,HouseEntrance.csv,2023-09-25 11:39:47.709,2023-09-25 11:40:09.375
19,HouseEntrance.csv,2023-09-25 11:47:21.478,2023-09-25 11:47:27.901
20,HouseEntrance.csv,2023-09-25 11:56:59.998,2023-09-25 11:57:05.648
21,HouseEntrance.csv,2023-09-25 12:57:53.875,2023-09-25 12:58:00.813
22,HouseEntrance.csv,2023-09-25 13:07:58.134,2023-09-25 13:08:40.649
23,HouseEntrance.csv,2023-09-25 14:40:31.118,2023-09-25 14:40:38.863
24,HouseEntrance.csv,2023-09-25 16:06:28.598,2023-09-25 16:06:43.620
25,HouseEntrance.csv,2023-09-25 16:43:14.699,2023-09-25 16:44:27.051
26,HouseEntrance.csv,2023-09-25 21:40:23.297,2023-09-25 21:41:00.652
27,HouseEntrance.csv,2023-09-25 21:42:08.793,2023-09-25 21:42:25.132
28,HouseEntrance.csv,2023-09-25 21:51:19.537,2023-09-25 21:51:25.525
29,Medicines.csv,2023-09-25 12:51:24.506,2023-09-25 12:51:28.663
30,Medicines.csv,2023-09-25 19:15:26.004,2023-09-25 19:15:34.871
31,MotionBedroom.csv,2023-09-25 11:59:04.201,2023-09-25 12:00:12.564
32,MotionBedroom.csv,2023-09-25 13:58:29.178,2023-09-25 13:59:31.921
33,MotionBedroom.csv,2023-09-25 13:59:57.146,2023-09-25 14:01:33.320
34,MotionBedroom.csv,2023-09-25 14:35:00.132,2023-09-25 14:36:28.968
35,MotionBedroom.csv,2023-09-25 18:14:12.359,2023-09-25 18:17:25.611
36,MotionBedroom.csv,2023-09-25 18:17:35.586,2023-09-25 18:21:14.387
37,MotionBedroom.csv,2023-09-25 19:23:47.661,2023-09-25 19:26:10.350
38,MotionBedroom.csv,2023-09-25 20:21:26.656,2023-09-25 20:24:41.698
39,MotionBedroom.csv,2023-09-25 20:27:09.681,2023-09-25 20:28:13.443
40,MotionBedroom.csv,2023-09-25 21:16:50.961,2023-09-25 21:18:11.088
41,MotionBedroom.csv,2023-09-25 21:19:18.478,2023-09-25 21:22:16.266
42,MotionBedroom.csv,2023-09-25 21:23:41.436,2023-09-25 21:24:46.645
43,MotionBedroom.csv,2023-09-25 21:31:00.859,2023-09-25 21:32:03.632
44,MotionBedroom.csv,2023-09-25 21:34:59.928,2023-09-25 21:39:49.547
45,MotionBedroom.csv,2023-09-25 21:40:40.881,2023-09-25 21:41:50.142
46,MotionBedroom.csv,2023-09-25 21:51:40.888,2023-09-25 21:55:34.149
47,MotionBedroom.csv,2023-09-25 21:56:05.882,2023-09-25 21:57:44.759
48,MotionBedroom.csv,2023-09-25 21:58:44.563,2023-09-25 22:02:38.505
49,MotionBedroom.csv,2023-09-25 22:22:15.083,2023-09-25 22:23:19.793
50,MotionBedroom.csv,2023-09-25 22:24:11.163,2023-09-25 22:25:18.005
51,MotionBedroom.csv,2023-09-25 22:27:30.416,2023-09-25 22:28:34.446
52,MotionBedroom.csv,2023-09-25 22:31:37.056,2023-09-25 22:32:39.550
53,MotionBedroom.csv,2023-09-25 22:32:52.623,2023-09-25 22:35:01.293
54,MotionBedroom.csv,2023-09-25 22:35:24.215,2023-09-25 22:36:37.810
55,MotionBedroom.csv,2023-09-25 22:39:17.443,2023-09-25 22:40:26.980
56,MotionBedroom.csv,2023-09-25 22:52:06.557,2023-09-25 22:53:32.045
57,MotionBedroom.csv,2023-09-25 23:29:07.990,2023-09-25 23:30:31.116
58,MotionKitchen.csv,2023-09-25 11:45:32.425,2023-09-25 11:48:04.300
59,MotionKitchen.csv,2023-09-25 11:58:09.270,2023-09-25 12:08:11.580
60,MotionKitchen.csv,2023-09-25 12:10:38.668,2023-09-25 12:21:47.688
61,MotionKitchen.csv,2023-09-25 12:24:08.750,2023-09-25 12:28:35.545
62,MotionKitchen.csv,2023-09-25 12:29:17.006,2023-09-25 12:30:17.000
63,MotionKitchen.csv,2023-09-25 12:42:27.211,2023-09-25 12:47:59.138
64,MotionKitchen.csv,2023-09-25 12:48:33.856,2023-09-25 12:50:44.011
65,MotionKitchen.csv,2023-09-25 12:51:04.257,2023-09-25 12:52:04.252
66,MotionKitchen.csv,2023-09-25 12:57:29.470,2023-09-25 12:58:29.492
67,MotionKitchen.csv,2023-09-25 13:08:56.189,2023-09-25 13:09:56.200
68,MotionKitchen.csv,2023-09-25 13:20:56.398,2023-09-25 13:21:56.401
69,MotionKitchen.csv,2023-09-25 13:22:37.638,2023-09-25 13:23:37.606
70,MotionKitchen.csv,2023-09-25 13:24:06.849,2023-09-25 13:25:06.848
71,MotionKitchen.csv,2023-09-25 13:28:08.737,2023-09-25 13:29:08.734
72,MotionKitchen.csv,2023-09-25 13:31:43.168,2023-09-25 13:32:43.145
73,MotionKitchen.csv,2023-09-25 13:41:00.911,2023-09-25 13:42:30.763
74,MotionKitchen.csv,2023-09-25 13:49:45.018,2023-09-25 13:50:44.976
75,MotionKitchen.csv,2023-09-25 13:51:22.123,2023-09-25 13:52:22.099
76,MotionKitchen.csv,2023-09-25 14:26:12.494,2023-09-25 14:27:12.483
77,MotionKitchen.csv,2023-09-25 14:32:17.050,2023-09-25 14:33:17.076
78,MotionKitchen.csv,2023-09-25 14:34:08.205,2023-09-25 14:35:38.420
79,MotionKitchen.csv,2023-09-25 14:35:46.633,2023-09-25 14:36:46.633
80,MotionKitchen.csv,2023-09-25 16:07:34.689,2023-09-25 16:09:04.593
81,MotionKitchen.csv,2023-09-25 16:10:00.630,2023-09-25 16:12:01.201
82,MotionKitchen.csv,2023-09-25 16:12:06.976,2023-09-25 16:23:55.825
83,MotionKitchen.csv,2023-09-25 16:23:58.887,2023-09-25 16:29:11.478
84,MotionKitchen.csv,2023-09-25 16:29:18.412,2023-09-25 16:30:18.399
85,MotionKitchen.csv,2023-09-25 16:31:38.139,2023-09-25 16:37:49.344
86,MotionKitchen.csv,2023-09-25 16:39:39.130,2023-09-25 16:41:09.002
87,MotionKitchen.csv,2023-09-25 16:41:18.718,2023-09-25 16:43:43.581
88,MotionKitchen.csv,2023-09-25 16:44:34.348,2023-09-25 16:47:04.560
89,MotionKitchen.csv,2023-09-25 16:47:20.330,2023-09-25 16:49:52.010
90,MotionKitchen.csv,2023-09-25 16:53:08.432,2023-09-25 16:57:12.287
91,MotionKitchen.csv,2023-09-25 17:09:14.366,2023-09-25 17:11:16.507
92,MotionKitchen.csv,2023-09-25 17:12:19.965,2023-09-25 17:15:20.267
93,MotionKitchen.csv,2023-09-25 18:09:30.677,2023-09-25 18:14:28.187
94,MotionKitchen.csv,2023-09-25 18:17:05.404,2023-09-25 18:18:05.426
95,MotionKitchen.csv,2023-09-25 18:20:20.371,2023-09-25 18:21:20.391
96,MotionKitchen.csv,2023-09-25 18:22:28.386,2023-09-25 18:27:04.776
97,MotionKitchen.csv,2023-09-25 18:27:23.741,2023-09-25 18:30:19.658
98,MotionKitchen.csv,2023-09-25 18:36:53.625,2023-09-25 18:37:53.629
99,MotionKitchen.csv,2023-09-25 18:38:31.259,2023-09-25 18:40:15.172
100,MotionKitchen.csv,2023-09-25 18:40:29.717,2023-09-25 18:43:34.551
101,MotionKitchen.csv,2023-09-25 18:47:29.454,2023-09-25 18:48:29.438
102,MotionKitchen.csv,2023-09-25 19:07:44.787,2023-09-25 19:10:57.528
103,MotionKitchen.csv,2023-09-25 19:12:01.088,2023-09-25 19:15:38.677
104,MotionKitchen.csv,2023-09-25 19:18:10.681,2023-09-25 19:19:10.675
105,MotionKitchen.csv,2023-09-25 19:21:55.829,2023-09-25 19:22:55.796
106,MotionKitchen.csv,2023-09-25 19:34:04.743,2023-09-25 19:35:04.742
107,MotionKitchen.csv,2023-09-25 21:30:43.198,2023-09-25 21:31:43.184
108,MotionKitchen.csv,2023-09-25 21:37:58.139,2023-09-25 21:40:51.114
109,MotionLivingRoomSofa.csv,2023-09-25 11:34:35.590,2023-09-25 11:37:01.160
110,MotionLivingRoomSofa.csv,2023-09-25 11:38:53.077,2023-09-25 11:39:53.110
111,MotionLivingRoomSofa.csv,2023-09-25 11:40:35.798,2023-09-25 11:41:35.793
112,MotionLivingRoomSofa.csv,2023-09-25 11:47:11.684,2023-09-25 11:48:11.611
113,MotionLivingRoomSofa.csv,2023-09-25 11:57:12.881,2023-09-25 11:58:12.877
114,MotionLivingRoomSofa.csv,2023-09-25 11:59:02.293,2023-09-25 12:00:02.288
115,MotionLivingRoomSofa.csv,2023-09-25 12:06:11.252,2023-09-25 12:07:11.254
116,MotionLivingRoomSofa.csv,2023-09-25 12:12:18.039,2023-09-25 12:13:18.044
117,MotionLivingRoomSofa.csv,2023-09-25 12:47:42.676,2023-09-25 12:48:42.673
118,MotionLivingRoomSofa.csv,2023-09-25 13:21:55.240,2023-09-25 13:22:55.233
119,MotionLivingRoomSofa.csv,2023-09-25 13:42:25.555,2023-09-25 13:43:25.581
120,MotionLivingRoomSofa.csv,2023-09-25 13:56:29.274,2023-09-25 13:57:29.267
121,MotionLivingRoomSofa.csv,2023-09-25 13:58:17.839,2023-09-25 13:59:17.858
122,MotionLivingRoomSofa.csv,2023-09-25 13:59:57.234,2023-09-25 14:01:35.346
123,MotionLivingRoomSofa.csv,2023-09-25 14:02:18.780,2023-09-25 14:03:18.779
124,MotionLivingRoomSofa.csv,2023-09-25 14:14:24.266,2023-09-25 14:15:24.259
125,MotionLivingRoomSofa.csv,2023-09-25 14:18:28.299,2023-09-25 14:19:58.007
126,MotionLivingRoomSofa.csv,2023-09-25 14:26:55.577,2023-09-25 14:27:55.594
127,MotionLivingRoomSofa.csv,2023-09-25 14:34:57.760,2023-09-25 14:35:57.777
128,MotionLivingRoomSofa.csv,2023-09-25 14:38:42.758,2023-09-25 14:40:13.918
129,MotionLivingRoomSofa.csv,2023-09-25 16:06:51.260,2023-09-25 16:07:51.261
130,MotionLivingRoomSofa.csv,2023-09-25 16:08:12.809,2023-09-25 16:09:12.804
131,MotionLivingRoomSofa.csv,2023-09-25 16:20:03.438,2023-09-25 16:21:03.429
132,MotionLivingRoomSofa.csv,2023-09-25 16:32:16.943,2023-09-25 16:34:33.141
133,MotionLivingRoomSofa.csv,2023-09-25 16:36:59.441,2023-09-25 16:38:44.094
134,MotionLivingRoomSofa.csv,2023-09-25 16:38:58.587,2023-09-25 16:40:31.658
135,MotionLivingRoomSofa.csv,2023-09-25 17:13:52.648,2023-09-25 17:14:52.644
136,MotionLivingRoomSofa.csv,2023-09-25 17:25:56.983,2023-09-25 17:26:56.975
137,MotionLivingRoomSofa.csv,2023-09-25 17:28:38.791,2023-09-25 17:29:38.780
138,MotionLivingRoomSofa.csv,2023-09-25 17:53:12.323,2023-09-25 17:54:51.847
139,MotionLivingRoomSofa.csv,2023-09-25 17:57:01.237,2023-09-25 17:58:01.232
140,MotionLivingRoomSofa.csv,2023-09-25 18:06:12.258,2023-09-25 18:07:12.261
141,MotionLivingRoomSofa.csv,2023-09-25 18:08:22.364,2023-09-25 18:09:22.351
142,MotionLivingRoomSofa.csv,2023-09-25 18:12:56.068,2023-09-25 18:13:56.093
143,MotionLivingRoomSofa.csv,2023-09-25 18:14:09.670,2023-09-25 18:15:09.664
144,MotionLivingRoomSofa.csv,2023-09-25 18:15:11.983,2023-09-25 18:18:26.688
145,MotionLivingRoomSofa.csv,2023-09-25 18:18:30.612,2023-09-25 18:20:00.608
146,MotionLivingRoomSofa.csv,2023-09-25 18:20:07.714,2023-09-25 18:23:00.406
147,MotionLivingRoomSofa.csv,2023-09-25 18:25:14.134,2023-09-25 18:26:14.147
148,MotionLivingRoomSofa.csv,2023-09-25 18:42:26.447,2023-09-25 18:43:26.451
149,MotionLivingRoomSofa.csv,2023-09-25 19:23:45.091,2023-09-25 19:24:45.057
150,MotionLivingRoomSofa.csv,2023-09-25 19:25:05.800,2023-09-25 19:26:05.804
151,MotionLivingRoomSofa.csv,2023-09-25 19:26:20.406,2023-09-25 19:27:58.969
152,MotionLivingRoomSofa.csv,2023-09-25 19:28:56.366,2023-09-25 19:29:56.360
153,MotionLivingRoomSofa.csv,2023-09-25 19:31:58.172,2023-09-25 19:32:58.183
154,MotionLivingRoomSofa.csv,2023-09-25 19:46:10.857,2023-09-25 19:47:10.857
155,MotionLivingRoomSofa.csv,2023-09-25 20:04:04.426,2023-09-25 20:05:34.576
156,MotionLivingRoomSofa.csv,2023-09-25 20:09:21.094,2023-09-25 20:10:21.116
157,MotionLivingRoomSofa.csv,2023-09-25 20:10:33.919,2023-09-25 20:11:33.910
158,MotionLivingRoomSofa.csv,2023-09-25 20:21:10.178,2023-09-25 20:22:10.186
159,MotionLivingRoomSofa.csv,2023-09-25 20:27:33.529,2023-09-25 20:29:49.347
160,MotionLivingRoomSofa.csv,2023-09-25 20:31:21.014,2023-09-25 20:32:21.018
161,MotionLivingRoomSofa.csv,2023-09-25 20:39:27.186,2023-09-25 20:40:27.170
162,MotionLivingRoomSofa.csv,2023-09-25 21:16:22.576,2023-09-25 21:17:22.586
163,MotionLivingRoomSofa.csv,2023-09-25 21:18:13.623,2023-09-25 21:20:15.726
164,MotionLivingRoomSofa.csv,2023-09-25 21:23:43.887,2023-09-25 21:24:43.887
165,MotionLivingRoomSofa.csv,2023-09-25 21:30:32.907,2023-09-25 21:31:32.891
166,MotionLivingRoomSofa.csv,2023-09-25 21:36:57.464,2023-09-25 21:37:57.494
167,MotionLivingRoomSofa.csv,2023-09-25 21:40:38.564,2023-09-25 21:41:38.567
168,MotionLivingRoomSofa.csv,2023-09-25 21:51:37.781,2023-09-25 21:53:14.077
169,MotionLivingRoomTablet.csv,2023-09-25 12:05:44.390,2023-09-25 12:06:46.449
170,MotionLivingRoomTablet.csv,2023-09-25 12:07:41.477,2023-09-25 12:08:13.455
171,MotionLivingRoomTablet.csv,2023-09-25 12:10:36.131,2023-09-25 12:11:08.126
172,MotionLivingRoomTablet.csv,2023-09-25 12:12:12.370,2023-09-25 12:12:44.369
173,MotionLivingRoomTablet.csv,2023-09-25 12:12:50.748,2023-09-25 12:13:22.730
174,MotionLivingRoomTablet.csv,2023-09-25 12:19:14.955,2023-09-25 12:19:46.949
175,MotionLivingRoomTablet.csv,2023-09-25 12:19:49.900,2023-09-25 12:20:21.896
176,MotionLivingRoomTablet.csv,2023-09-25 12:21:06.089,2023-09-25 12:21:38.071
177,MotionLivingRoomTablet.csv,2023-09-25 12:24:05.447,2023-09-25 12:24:37.404
178,MotionLivingRoomTablet.csv,2023-09-25 12:27:03.542,2023-09-25 12:28:05.509
179,MotionLivingRoomTablet.csv,2023-09-25 12:29:02.972,2023-09-25 12:30:06.537
180,MotionLivingRoomTablet.csv,2023-09-25 12:42:23.973,2023-09-25 12:42:55.959
181,MotionLivingRoomTablet.csv,2023-09-25 12:45:08.700,2023-09-25 12:46:10.671
182,MotionLivingRoomTablet.csv,2023-09-25 12:47:38.549,2023-09-25 12:48:10.543
183,MotionLivingRoomTablet.csv,2023-09-25 12:48:23.815,2023-09-25 12:48:55.800
184,MotionLivingRoomTablet.csv,2023-09-25 12:49:06.649,2023-09-25 12:49:38.645
185,MotionLivingRoomTablet.csv,2023-09-25 12:50:10.726,2023-09-25 12:50:42.728
186,MotionLivingRoomTablet.csv,2023-09-25 12:51:00.040,2023-09-25 12:52:02.451
187,MotionLivingRoomTablet.csv,2023-09-25 12:52:02.576,2023-09-25 12:52:34.609
188,MotionLivingRoomTablet.csv,2023-09-25 12:52:43.692,2023-09-25 12:53:46.443
189,MotionLivingRoomTablet.csv,2023-09-25 12:53:47.504,2023-09-25 12:56:22.763
190,MotionLivingRoomTablet.csv,2023-09-25 12:56:38.998,2023-09-25 12:57:10.968
191,MotionLivingRoomTablet.csv,2023-09-25 13:08:46.982,2023-09-25 13:09:48.960
192,MotionLivingRoomTablet.csv,2023-09-25 13:09:51.283,2023-09-25 13:10:23.283
193,MotionLivingRoomTablet.csv,2023-09-25 13:10:24.157,2023-09-25 13:12:57.544
194,MotionLivingRoomTablet.csv,2023-09-25 13:12:59.234,2023-09-25 13:15:31.151
195,MotionLivingRoomTablet.csv,2023-09-25 13:15:33.815,2023-09-25 13:17:05.749
196,MotionLivingRoomTablet.csv,2023-09-25 13:17:08.341,2023-09-25 13:18:11.931
197,MotionLivingRoomTablet.csv,2023-09-25 13:18:19.128,2023-09-25 13:18:51.131
198,MotionLivingRoomTablet.csv,2023-09-25 13:19:03.856,2023-09-25 13:19:35.842
199,MotionLivingRoomTablet.csv,2023-09-25 13:20:28.709,2023-09-25 13:21:00.687
200,MotionLivingRoomTablet.csv,2023-09-25 13:21:15.356,2023-09-25 13:21:47.371
201,MotionLivingRoomTablet.csv,2023-09-25 13:22:25.133,2023-09-25 13:22:57.114
202,MotionLivingRoomTablet.csv,2023-09-25 13:23:18.282,2023-09-25 13:24:50.299
203,MotionLivingRoomTablet.csv,2023-09-25 13:24:59.416,2023-09-25 13:26:31.353
204,MotionLivingRoomTablet.csv,2023-09-25 13:26:31.611,2023-09-25 13:27:03.645
205,MotionLivingRoomTablet.csv,2023-09-25 13:27:07.050,2023-09-25 13:27:39.071
206,MotionLivingRoomTablet.csv,2023-09-25 13:27:48.185,2023-09-25 13:32:21.678
207,MotionLivingRoomTablet.csv,2023-09-25 13:33:25.933,2023-09-25 13:33:57.920
208,MotionLivingRoomTablet.csv,2023-09-25 13:34:03.495,2023-09-25 13:35:35.459
209,MotionLivingRoomTablet.csv,2023-09-25 13:35:39.017,2023-09-25 13:37:13.127
210,MotionLivingRoomTablet.csv,2023-09-25 13:37:13.527,2023-09-25 13:41:16.191
211,MotionLivingRoomTablet.csv,2023-09-25 13:41:59.510,2023-09-25 13:43:02.140
212,MotionLivingRoomTablet.csv,2023-09-25 13:55:43.639,2023-09-25 13:57:15.698
213,MotionLivingRoomTablet.csv,2023-09-25 13:57:24.110,2023-09-25 13:58:56.754
214,MotionLivingRoomTablet.csv,2023-09-25 13:59:57.561,2023-09-25 14:00:29.575
215,MotionLivingRoomTablet.csv,2023-09-25 14:00:36.209,2023-09-25 14:01:08.208
216,MotionLivingRoomTablet.csv,2023-09-25 14:01:13.138,2023-09-25 14:02:45.097
217,MotionLivingRoomTablet.csv,2023-09-25 14:03:08.479,2023-09-25 14:04:42.017
218,MotionLivingRoomTablet.csv,2023-09-25 14:05:05.246,2023-09-25 14:05:37.271
219,MotionLivingRoomTablet.csv,2023-09-25 14:05:59.767,2023-09-25 14:07:02.102
220,MotionLivingRoomTablet.csv,2023-09-25 14:07:17.917,2023-09-25 14:07:49.877
221,MotionLivingRoomTablet.csv,2023-09-25 14:07:50.288,2023-09-25 14:09:55.663
222,MotionLivingRoomTablet.csv,2023-09-25 14:10:03.502,2023-09-25 14:10:35.514
223,MotionLivingRoomTablet.csv,2023-09-25 14:10:50.085,2023-09-25 14:11:22.100
224,MotionLivingRoomTablet.csv,2023-09-25 14:11:25.854,2023-09-25 14:11:57.856
225,MotionLivingRoomTablet.csv,2023-09-25 14:12:10.699,2023-09-25 14:14:12.738
226,MotionLivingRoomTablet.csv,2023-09-25 14:16:15.742,2023-09-25 14:16:47.744
227,MotionLivingRoomTablet.csv,2023-09-25 17:56:14.609,2023-09-25 17:56:46.603
228,MotionLivingRoomTablet.csv,2023-09-25 18:06:08.250,2023-09-25 18:06:40.236
229,MotionLivingRoomTablet.csv,2023-09-25 18:07:25.680,2023-09-25 18:07:57.670
230,MotionLivingRoomTablet.csv,2023-09-25 18:12:54.569,2023-09-25 18:13:26.566
231,MotionLivingRoomTablet.csv,2023-09-25 18:37:35.880,2023-09-25 18:38:07.867
232,MotionLivingRoomTablet.csv,2023-09-25 20:27:37.921,2023-09-25 20:28:09.924
233,MotionLivingRoomTablet.csv,2023-09-25 21:37:09.480,2023-09-25 21:37:41.479
234,PlugTvHall.csv,2023-09-25 11:45:00.443,2023-09-25 11:45:30.384
235,PlugTvHall.csv,2023-09-25 11:49:01.415,2023-09-25 11:49:31.393
236,PlugTvHall.csv,2023-09-25 11:52:01.363,2023-09-25 11:52:31.393
237,PlugTvHall.csv,2023-09-25 11:57:34.388,2023-09-25 14:39:28.403
